,codes,sec_name,SEO_class,wind_class,sw_class,zx_class
0,000010.SZ,美丽生态,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
1,000065.SZ,北方国际,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-国际工程承包,建筑--建筑施工--专业工程及其他
2,000090.SZ,天健集团,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,,建筑--建筑施工--房建建设
3,000498.SZ,山东路桥,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
4,000628.SZ,高新发展,建筑业-房屋建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
5,000711.SZ,京蓝科技,建筑业-土木工程建筑业,,,
6,000928.SZ,中钢国际,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-国际工程承包,建筑--建筑施工--基建建设
7,002047.SZ,宝鹰股份,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
8,002051.SZ,中工国际,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-国际工程承包,建筑--建筑施工--基建建设
9,002060.SZ,粤水电,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-水利工程,建筑--建筑施工--基建建设
10,002061.SZ,浙江交科,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
11,002062.SZ,宏润建设,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-城轨建设,建筑--建筑施工--基建建设
12,002081.SZ,金螳螂,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
13,002116.SZ,中国海诚,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-其他基础建设,建筑--建筑施工--专业工程及其他
14,002140.SZ,东华科技,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-化学工程,建筑--建筑施工--专业工程及其他
