TIME,A
2010/1/29,-0.07661073
2010/2/26,0.038301165
2010/3/31,0.023101597
2010/4/30,-0.077059882
2010/5/31,-0.088772765
2010/6/30,-0.08565121
2010/7/30,0.128790716
2010/8/31,0.045368939
2010/9/30,0.012688224
2010/10/29,0.124300378
2010/11/30,-0.037534895
2010/12/31,-0.013411529
2011/1/31,-0.036717369
2011/2/28,0.072790763
2011/3/31,-0.009654352
2011/4/29,-0.019235544
2011/5/31,-0.066025355
2011/6/30,0.021308892
2011/7/29,-0.007519292
2011/8/31,-0.039898042
2011/9/30,-0.107806705
2011/10/31,0.042945103
2011/11/30,-0.055202523
2011/12/30,-0.102393211
2012/1/31,0.025890839
2012/2/29,0.091206311
2012/3/30,-0.070068916
2012/4/27,0.069280626
2012/5/31,0.010399626
2012/6/29,-0.064061362
2012/7/31,-0.067715215
2012/8/31,-0.029312863
2012/9/28,0.027696022
2012/10/31,-0.012272856
2012/11/30,-0.076977626
2012/12/31,0.171731595
2013/1/31,0.064407173
2013/2/28,0.01305348
2013/3/29,-0.05311136
2013/4/26,-0.021289448
2013/5/31,0.098008376
2013/6/28,-0.152466206
2013/7/31,0.029442738
2013/8/30,0.063343782
2013/9/30,0.051300637
2013/10/31,-0.02623276
2013/11/29,0.049938094
2013/12/31,-0.038402953
2014/1/30,-0.012569438
2014/2/28,0.007146002
2014/3/31,-0.026418912
2014/4/30,-0.00661028
2014/5/30,0.010575601
2014/6/30,0.022469956
2014/7/31,0.07432502
2014/8/29,0.024072742
2014/9/30,0.088923177
2014/10/31,0.019160645
2014/11/28,0.082857932
2014/12/31,0.10979319
2015/1/30,0.016317129
2015/2/27,0.058838661
2015/3/31,0.175182897
2015/4/30,0.173014695
2015/5/29,0.126019576
2015/6/30,-0.095424143
2015/7/31,-0.156054606
2015/8/31,-0.129190707
2015/9/30,-0.047997194
2015/10/30,0.141375263
2015/11/30,0.047197528
2015/12/31,0.0490965
2016/1/29,-0.257074975
2016/2/29,-0.02365911
2016/3/31,0.146396907
2016/4/29,-0.018453388
2016/5/31,-0.006970234
2016/6/30,0.025981884
2016/7/29,0.000449424
2016/8/31,0.040252388
2016/9/30,-0.017064251
2016/10/31,0.027291098
2016/11/30,0.037163638
2016/12/30,-0.055612012
2017/1/26,-0.003456127
2017/2/28,0.028474544
2017/3/31,-0.008714158
2017/4/28,-0.029892477
2017/5/31,-0.030940591
2017/6/30,0.043741125
2017/7/31,0.010656453
2017/8/31,0.025900999
2017/9/29,0.011042346
2017/10/31,0.011901204
2017/11/30,-0.029313768
2017/12/29,-0.003011397
2018/1/31,0.015399856
2018/2/28,-0.047296918
2018/3/30,-0.001697378
2018/4/27,-0.038598042
2018/5/31,-0.003242597
2018/6/29,-0.089491591
2018/7/31,-0.003274485
2018/8/31,-0.066179853
2018/9/28,0.01267284
2018/10/31,-0.093402156
2018/11/30,0.022306606
2018/12/28,-0.048173073
2019/1/31,0.026580383
2019/2/28,0.178762867
2019/3/29,0.080463179
2019/4/30,-0.014534544
2019/5/31,-0.067603608
2019/6/28,0.029239901
2019/7/31,-0.006919067
2019/8/30,-0.007102325
2019/9/30,0.007075992
2019/10/31,0.00937947
2019/11/29,-0.015925341
2019/12/31,0.074995926
2020/1/23,-0.002479686
2020/2/28,0.000897979
2020/3/31,-0.064710313
2020/4/30,0.053325874
2020/5/29,0.002879307
