,0,1,2,3,4
IVFF3_1M,-0.16044918358511784,-0.03203633007471074,-0.00913831439477597,0.04335858091390632,0.003312133607333623
Ret63,-0.149086313716966,0.046645364435250684,0.0008686626908893658,-0.06729562874071128,0.01022905240625227
STD_6M,-0.14798242229152525,-0.008689736989678344,-0.027334762314831233,0.027254866099097885,0.00012354326434071972
TurnOver_1M,-0.14741352556003384,-0.08168279119106893,0.05435880258851666,-0.059688932958780076,0.06651885985421968
STD_1M_Excess,-0.14663843379537256,-0.017251071431119702,-0.0006941576591944497,0.024482217743806656,-0.009883569338048459
TurnOver_6M,-0.13961264176408586,-0.016846634071712163,-0.04505397733444405,-0.03894527177885776,0.06510106823985272
MaxRet21,-0.13582082948578555,-0.03559641661502844,-0.007053669313506372,0.031890916196560586,-0.010305339055698859
STD_1M,-0.13110111243846945,-0.00979432750978404,-0.002781909846394925,0.04027790856344904,-0.04633300061371837
TurnOver_3M,-0.1291026877533238,-0.06348348126966485,-0.025590492721997867,-0.005879641162071292,0.051068915407769255
RSquare_1M,-0.1226435497103413,-0.1314556854603336,-0.04841157842055588,0.011204088695711212,-0.027155325036364086
IVFF3_3M,-0.1221980937531365,-0.08668715938241311,0.02566243527772083,0.007253158366652412,0.018668438466024062
ResVol,-0.12090737444980393,-0.041140823843278,0.01995052169361711,-0.03642006541916176,0.012118255415517476
STD_1Y,-0.11696258222024147,-0.07294865225121272,-0.04376973176195453,0.0411637301668466,0.026160604199700236
RSquare_3M,-0.11388627998250235,-0.08487837364364459,0.023991247938433883,-0.0331573447267296,-0.0014300918096811224
STD_1Y_Excess,-0.11378191243952085,-0.0814714842449854,0.030245819495828608,-0.010496064850658128,0.010099443266419206
TurnOver_1Y,-0.11231171046018218,-0.053666069565089784,-0.05983256445899233,0.008039408751688626,0.039650132678432204
VSTD_3M,-0.109273079564704,-0.01468967325006876,-0.08884642416644561,0.027016209926373325,0.007438718200035055
STD_6M_Excess,-0.10837180935720103,-0.06774115268341085,-0.015419219872905844,0.0014992032211111894,0.02292124420488295
Ret126,-0.10824850445479073,-0.04753546150527455,0.0476209809950936,-0.011458922703993736,-0.0386099696743516
Ret21,-0.10429540353588496,-0.0651738614327042,-0.04635684866640655,0.017657948873193385,0.025328039709447747
VSTD_1M,-0.09595742433222644,-0.08516492550396115,-0.02648947410059621,0.0006243861522119419,0.02436728079163597
GrossProfitMarginQ,-0.0944959511918726,-0.008154118582766823,-0.0230240857110674,-0.01874651982383435,-0.03115753205055372
STD_3M_Excess,-0.09189509450439348,-0.06761021277565082,-0.05530428236847085,0.058481893118315316,-0.0012907125435089872
STD_3M,-0.08398133389497843,-0.05559612155530425,-0.02381354436130767,-0.01085417537000144,0.0016482302865867824
GrossProfitMargin,-0.07799391341059803,-0.021598477872289083,-0.015417976333889303,-0.0058888229782876325,-0.04396947654136785
Ret252_21,-0.06900366428321303,-0.009726614291222345,-0.02799495563810106,0.008211918694056797,-0.05584310301933981
NetOperateCashFlowQYOY,-0.06855383642649583,-0.017029573000642232,-0.017880397880039145,-0.016238158713272388,-0.04176697641216754
VSTD_6M,-0.054008434000902494,-0.07370552492697391,-0.038785614871060366,-0.025788167308927527,0.006418921453525739
