,0,1,2,3,4
IVFF3_1M,-0.4049441578366075,-0.0824933400541652,-0.02461870021580467,0.12415559794115145,0.009490732365490915
TurnOver_1M,-0.3899227531255893,-0.22513797356602053,0.14743418989936433,-0.16143925488951524,0.1820201981328816
Ret63,-0.3819313630589472,0.12429164077124953,0.0024394964397871075,-0.18522619306156987,0.02675551994391849
STD_6M,-0.3756891975137471,-0.021781644340301828,-0.07106740154676143,0.07713028683593585,0.0003805027145443697
TurnOver_6M,-0.3728791828156997,-0.04657526743616102,-0.12363737464464188,-0.10226508633411546,0.18099521741307656
STD_1M_Excess,-0.3704618762190721,-0.04350252373567171,-0.0018984945282046481,0.07122221134159816,-0.02862250007857615
TurnOver_3M,-0.3394083876953966,-0.17784077351868388,-0.0698224251926767,-0.01602827039121523,0.13947694119575813
MaxRet21,-0.3316475665593106,-0.09356346000482267,-0.019025921508882448,0.08965920257379109,-0.030162493345444606
STD_1M,-0.3222811480795217,-0.025207356013821743,-0.0074204282577193595,0.11540949433846505,-0.14151380957176676
RSquare_1M,-0.3132711577425995,-0.3372541510932523,-0.1237185226933233,0.02808803482411735,-0.06944351312469625
RSquare_3M,-0.3093490509615469,-0.2319094761584792,0.06524982931219593,-0.09284341171661938,-0.00400467016092365
IVFF3_3M,-0.3037283335909236,-0.2256968754923079,0.07092954872873787,0.020170995493010442,0.05503767562636742
ResVol,-0.2978574166811134,-0.1045717147868401,0.0532131033527456,-0.10082416890918926,0.03741352017461853
TurnOver_1Y,-0.29774092778655115,-0.13872537085806086,-0.1667336786637633,0.02203753262751534,0.1090712144110326
STD_1Y,-0.2857207113997845,-0.18804868657209847,-0.11551693031604872,0.10885505858754947,0.08197913855360804
STD_1Y_Excess,-0.282767864943212,-0.2115851377418248,0.07921757301026529,-0.028475667370340907,0.03127872614383335
VSTD_3M,-0.28070385158914146,-0.041461408912896576,-0.23907495085444835,0.06722724971954998,0.02011941942509926
Ret126,-0.2779216311398513,-0.12848782993035715,0.1283882542539518,-0.03285304686017479,-0.100052491509146
Ret21,-0.2699928562287411,-0.1793140384225218,-0.13035201255992296,0.048324077515291934,0.06641728958482561
